ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Praticar respiração nasal e diafragmática,9,9,6,6,7
Fumar cigarro eletrônico (Vape),1,3,4,3,2
Largar o vício do cigarro/vape,9,10,8,9,9
Tomar remédios para dormir sem receita,2,2,3,3,3
Fazer higiene do sono (Luz baixa/Telas fora),9,10,7,7,8
Dormir com TV ligada,3,3,4,5,3
Beber café depois das 18h,3,3,5,5,4
Beber mais de 4 xícaras de café por dia,4,4,5,4,5
Trocar café por chá verde/camomila de tarde,8,8,6,6,6
Adicionar açúcar no café/chá,4,5,5,5,5
Tomar café sem açúcar,8,8,5,6,6
Comer sobremesa todos os dias,3,4,6,4,4
Comer doces apenas aos finais de semana,7,8,7,6,6
Consumir adoçantes artificiais em excesso,4,5,5,5,4
Fazer dietas da moda sem nutricionista,3,3,4,4,4
Contratar um nutricionista esportivo/clínico,9,8,6,7,8
Pesar-se todos os dias (Ansiedade de peso),4,2,3,4,3
Pesar-se uma vez por semana,7,8,5,6,7
Medir a composição corporal (Bioimpedância),8,8,5,6,7
Tomar remédios para emagrecer sem receita,1,1,2,2,2
Tentar emagrecer apenas com dieta e exercícios,9,9,6,7,9
Fazer cirurgia bariátrica com indicação,8,8,7,6,8
Ignorar recuperação pós-operatória,1,2,2,3,2
Fazer fisioterapia após lesão,9,8,6,7,8
Voltar a treinar com dor sem liberação médica,1,3,4,4,3
Beber whey protein/suplementos,8,7,5,6,7
Trocar refeições inteiras por shakes processados,3,3,4,4,4
Comer carne todos os dias,6,7,7,6,6
Ser vegetariano com dieta balanceada,8,8,7,7,8
Ser vegano apenas comendo ultraprocessados,3,4,6,6,5
Preparar marmitas saudáveis aos domingos,8,8,5,8,8
Esquecer de beber água,2,2,4,4,3
Andar com uma garrafa de água sempre,10,9,6,7,7
Trocar água por suco de caixinha,2,3,5,4,3
Tomar suco natural no lugar de comer a fruta inteira,6,6,6,5,5
Mastigar a comida rapidamente,3,3,5,4,3
Mastigar a comida devagar prestando atenção,9,9,7,6,8
Assistir TV enquanto janta,4,3,6,5,4
Jantar na mesa conversando com a família,6,8,10,6,7
Tomar vacinas recomendadas,10,8,8,7,8
Ser anti-vacina,1,3,3,5,3
Lavar as roupas de cama regularmente,9,8,7,6,6
Dormir em colchão velho e deformado,2,3,4,5,3
Investir em um colchão de alta qualidade,9,9,7,7,7
Usar travesseiro inadequado,3,3,4,5,3
Doar órgãos após a morte (Autorização),5,8,9,7,10
Doar medula óssea,8,9,9,7,10
Fazer doação de sangue regular,8,8,9,6,9
Praticar sexo seguro (Uso de preservativo),10,9,9,8,9
Praticar roleta russa sexual (Sem proteção),1,2,3,2,2
Fazer exame de ISTs (Antigo DSTs) regularmente,9,9,8,8,8
Falar sobre histórico médico com o parceiro,6,9,9,8,8
Tomar anticoncepcional esquecendo os horários,4,3,4,4,4
Pular o alongamento antes/depois do treino,3,4,5,5,4
Focar em mobilidade articular,9,8,6,6,7
Levantar peso com a postura errada no treino (Ego lifting),1,3,4,5,3
Baixar a carga e focar na execução do exercício,9,9,6,7,8
Contratar um Personal Trainer,9,8,6,7,8
Tentar seguir dicas aleatórias de influencers fit,4,4,5,5,4
Comparar o próprio corpo com o de modelos de Instagram,3,1,2,3,2
Praticar aceitação corporal (Body positivity),6,9,7,7,8
Romantizar a obesidade grave,2,2,3,4,2
Caminhar 10.000 passos por dia,10,9,7,7,8
Ficar na cama o domingo inteiro (Bed rotting),3,2,3,4,2
Dar uma volta no quarteirão para pegar ar fresco,8,9,7,6,7
Praticar escalada/boulder,9,9,8,6,8
Praticar natação,10,9,7,6,8
Jogar futebol no final de semana,8,8,9,5,7
Sofrer lesões por esporte e não tratar,2,2,3,4,3
Usar palmilhas ortopédicas quando necessário,9,8,6,6,7
Andar descalço na grama/areia (Earthing),8,9,7,6,7
Tomar sol nas pernas e braços por 15 min diários,9,9,6,7,7
Chorar no chuveiro para esconder as lágrimas,4,5,4,5,4
Fingir que está tudo bem quando não está (Positividade tóxica),4,2,3,4,3
Permitir-se sentir raiva sem agir impulsivamente,6,8,7,7,7
Descontar a raiva em objetos físicos (Socar parede),2,2,2,3,2
Descontar a raiva em animais de estimação,1,1,1,2,1
Descontar a frustração em atendentes de telemarketing/garçons,4,2,2,4,2
Escrever uma carta de desabafo e depois queimar,5,8,6,7,7
Analisar as próprias emoções antes de falar,5,9,8,7,8
Falar sem pensar movido pela emoção,4,3,2,4,3
Responder ironicamente quando magoado,4,3,3,5,3
Praticar auto-piedade constante (Fazer-se de vítima),3,2,2,3,2
Reconhecer seus privilégios sem culpa paralisante,5,8,7,6,8
Pedir desculpas excessivamente por tudo,4,3,4,3,3
Assumir culpa por coisas que não fez,3,2,3,3,3
Jogar a culpa nos pais pelos próprios fracassos na vida adulta,4,2,3,4,3
Entender a criação dos pais e buscar independência emocional,5,9,8,8,9
Irritar-se com opiniões diferentes na internet,4,2,2,4,3
Bloquear pessoas tóxicas nas redes sociais,6,9,8,8,8
Fazer jejum de dopamina (Ficar longe de estímulos),7,10,7,8,8
Comparar sua vida de bastidores com o palco dos outros,3,2,2,3,2
Celebrar o sucesso de amigos sem inveja,5,9,10,7,8
Sentir inveja e usar isso como motivação para melhorar,5,7,6,7,8
Sentir inveja e tentar diminuir o sucesso alheio,4,2,2,4,2
Remoer erros do passado todas as noites,3,2,3,3,3
Tirar lições de erros do passado e seguir em frente,5,9,7,7,9
Ter ansiedade antecipatória por coisas que não aconteceram,3,2,4,3,3
Praticar o estoicismo (Focar apenas no que pode controlar),6,10,8,8,9
Preocupar-se excessivamente com o que os outros pensam,4,2,2,3,3
Vestir uma "máscara" social para ser aceito,4,3,4,4,3
Mostrar sua verdadeira personalidade mesmo sob risco de rejeição,5,9,8,9,9
Gastar dinheiro para suprir carência emocional (Retail therapy),3,3,4,2,3
Buscar validação externa constante em curtidas,3,2,3,2,3
Gostar de si mesmo independentemente de likes,6,10,8,9,9
Consumir conteúdo de autoajuda sem aplicar nada,4,4,4,5,4
Aplicar um ensinamento prático de um livro de psicologia,5,9,7,7,9
Ir ao psiquiatra para avaliar medicação,6,8,7,7,8
Ter preconceito com remédios psiquiátricos,4,3,4,5,4
Fazer testes de personalidade online obsessivamente,5,4,4,5,4
Mudar de humor com base no horóscopo do dia,4,3,4,4,3
Sentir gratidão por pequenas coisas (Sol café etc),7,10,8,8,9
Fazer uma lista de coisas pelas quais é grato diariamente,6,10,8,7,9
Alimentar pensamentos intrusivos,3,2,3,4,3
Reconhecer pensamentos intrusivos e deixá-los ir,6,9,7,7,8
Viver focado no futuro esquecendo o presente,4,4,4,5,6
Viver focado no passado esquecendo o presente,4,2,3,4,3
Viver intensamente o momento presente (Mindfulness),7,10,9,8,9
Reprimir traumas de infância,3,2,3,4,3
Enfrentar traumas na terapia (EMDR Psicanálise etc),5,9,8,7,9
Acreditar em conspirações infundadas por medo,4,2,2,4,3
Ter pensamento crítico e buscar evidências,5,9,7,8,8
Superanalisar mensagens de texto de paqueras,3,3,4,4,3
Levar tudo para o lado pessoal,3,2,2,3,2
Saber que a reação do outro reflete o outro, não você,5,9,8,8,8
Fazer suposições em vez de perguntar,4,3,3,4,3
Perguntar diretamente para esclarecer dúvidas,5,9,9,7,8
Desistir no primeiro obstáculo,4,2,3,4,2
Ter resiliência (Cair 7 vezes levantar 8),6,10,7,8,10
Ser teimoso e insistir num erro óbvio,4,3,3,4,3
Ter flexibilidade mental para mudar de opinião,5,9,8,8,9
Lidar com o luto bebendo,2,2,3,3,2
Lidar com o luto buscando apoio em grupos,5,8,9,6,8
Assistir filmes tristes para chorar,5,6,5,6,5
Praticar auto-sabotagem quando as coisas estão indo bem,4,2,3,3,2
Aceitar que merece ser feliz,6,10,8,8,9
Fazer afirmações positivas no espelho,5,7,6,7,7
Zombar de técnicas de saúde mental,4,3,3,5,3
Procurar defeitos no parceiro por medo de intimidade,4,3,2,4,2
Conversar sobre medos e inseguranças com o parceiro,5,9,10,7,9
Evitar situações sociais por fobia,4,2,1,3,3
Enfrentar fobias aos poucos com exposição gradual,5,9,7,7,9
Ouvir ASMR para relaxar,6,8,5,6,5
Buscar alívio do estresse em jogos violentos,4,5,4,5,4
Anotar sonhos ao acordar,5,7,5,6,6
Aprender a dizer não sem justificar em excesso,6,9,8,9,8
Guardar rancor de alguém que já morreu,4,2,3,4,3
Liberar o perdão internamente,6,10,8,8,9
Exigir perfeição de si mesmo,4,3,4,4,5
Aceitar a ideia do "feito é melhor que perfeito",6,9,7,8,9
Desdenhar da dor de outras pessoas (Falta de empatia),4,2,1,5,2
Demonstrar compaixão por quem errou,5,9,9,7,9
Lembrar das próprias qualidades quando criticado,6,10,7,8,9
Sentir-se um impostor (Síndrome do Impostor),4,3,4,4,4
Documentar suas conquistas para lembrar do seu valor,5,9,6,7,9
Mentir para o terapeuta,4,2,3,4,3
Ser brutalmente honesto na terapia,5,10,8,7,9
Fazer um quadro dos sonhos (Vision Board),5,8,5,7,8
Deletar aplicativos de redes sociais do celular,6,9,7,8,8
Instalar bloqueadores de sites no computador de trabalho,5,8,6,7,8
Ativar o modo "Não Perturbe" durante o estudo/trabalho,5,9,6,7,8
Deixar o celular sem senha para o parceiro ver,5,5,5,5,5
Colocar senha em todos os apps do celular (Falta de confiança),4,3,3,5,4
Ler a política de privacidade antes de aceitar,5,7,5,7,6
Clicar em "Aceito" sem ler termos e condições,5,4,4,5,4
Usar autenticação de dois fatores em tudo,5,8,6,8,7
Ter a mesma senha para todos os sites,5,3,4,4,4
Usar um gerenciador de senhas (LastPass/1Password etc),5,8,5,8,7
Cancelar serviço de streaming que não usa,5,7,5,8,6
Fazer rodízio de assinaturas de streaming por mês,5,7,5,8,6
Baixar filmes piratas correndo risco de vírus,5,5,5,6,4
Comprar jogos em promoção e nunca jogar (Backlog),4,4,4,4,4
Terminar um jogo de videogame até o final,4,7,5,5,6
Jogar jogos competitivos online (LoL/CS) e ficar estressado,3,2,3,4,3
Jogar jogos cooperativos com amigos,4,7,9,5,6
Assistir tutoriais no YouTube e nunca aplicar nada,4,5,4,5,4
Aprender uma habilidade prática pelo YouTube (ex: Marcenaria),5,9,6,7,8
Ler livros no Kindle/E-reader,5,9,5,7,8
Comprar livros físicos pelo cheiro e não ler,5,5,4,5,5
Ler um livro físico em uma praça,6,9,6,7,8
Ouvir audiolivros no trânsito,5,9,5,6,8
Ouvir música muito alta com fones de ouvido,2,5,5,5,4
Limpar a caixa de entrada do e-mail (Inbox Zero),5,9,5,7,6
Ter 10.000 e-mails não lidos,5,3,4,5,4
Responder mensagens de trabalho no WhatsApp pessoal,4,3,3,4,5
Ter um número exclusivo para o trabalho,5,8,7,8,7
Tirar fotos de todos os pratos antes de comer,4,4,5,5,4
Aproveitar a comida quente sem tirar fotos,6,8,7,6,6
Fazer jejum de telas (Digital detox) no domingo,6,10,8,8,8
Deletar fotos antigas com ex-parceiros,5,8,6,7,7
Manter fotos de ex por nostalgia,4,5,5,6,5
Limpar o rolo de câmera semanalmente,5,7,5,6,5
Fazer backup de arquivos na nuvem,5,8,5,8,7
Perder todos os arquivos por não fazer backup,4,2,3,4,3
Entrar em brigas no Twitter/X,4,2,2,4,3
Silenciar palavras e contas tóxicas no Twitter/X,5,9,7,8,7
Assistir TikToks curtos por mais de 2 horas,2,2,3,3,2
Configurar limite de tempo de tela no celular,6,9,7,8,8
Fazer comentários de ódio em perfis alheios (Hater),4,1,1,3,1
Denunciar perfis falsos e golpistas,5,7,6,6,7
Bloquear a tela do computador ao levantar (Segurança),5,8,5,8,6
Deixar a tela do PC destravada com informações confidenciais,4,3,3,4,3
Participar de desafios de internet perigosos,1,2,3,4,2
Criar conteúdo digital para ensinar algo (Criador),4,8,7,8,9
Ser consumidor passivo de internet o tempo todo,3,3,4,4,3
Apoiar criadores de conteúdo pelo Patreon/Apoia.se,5,7,7,5,7
Gastar em SuperChats e Doações para Streamers (Parassocial),4,4,5,3,4
Viver relações parassociais profundas com influenciadores,3,2,2,4,3
Limpar a área de trabalho do computador,5,8,5,6,6
Ter centenas de ícones soltos na área de trabalho,4,4,4,5,4
Responder a mensagens no WhatsApp no meio de uma conversa cara-a-cara,4,3,2,4,3
Colocar o celular virado para baixo durante o jantar,5,8,9,7,7
Atualizar o software do celular assim que pede,5,7,5,7,6
Ignorar atualizações de segurança por meses,5,4,4,5,4
Deixar milhares de abas abertas no navegador,4,3,4,5,4
Usar extensões de bloqueio de anúncios (AdBlock),5,8,5,8,6
Comprar produtos porque um influencer recomendou sem pesquisar,4,3,4,2,3
Pesquisar reviews em três sites antes de comprar tecnologia,5,8,5,8,7
Construir o próprio PC (Montar computador),5,8,5,7,8
Comprar PC pronto superfaturado,5,5,5,4,5
Usar VPN em redes Wi-Fi públicas,5,8,5,8,6
Acessar banco pelo Wi-Fi do aeroporto sem proteção,4,3,4,3,3
Comprar no cartão de crédito em sites duvidosos,4,2,4,3,3
Comprar itens de jogos virtuais (Skins),4,5,5,4,4
Colecionar NFTs acreditando em lucro fácil,4,3,4,3,4
Ouvir podcasts de "True Crime" para relaxar,5,6,5,6,5
Assistir a vídeos de limpeza e organização para motivação,5,7,5,6,6
Colocar o celular para carregar longe da cama,7,9,6,7,7
Dormir rolando feed (Revenge Bedtime Procrastination),2,2,3,3,3
Passar filtro azul nos óculos para uso do PC,8,8,5,6,6
Diminuir brilho da tela no escuro,8,8,5,6,6
Ficar assistindo TV na cama até dormir,3,3,4,5,3
Criar avatares em inteligência artificial,5,6,5,6,5
Pedir para IA fazer o trabalho da faculdade (Plágio),5,2,3,4,2
Usar IA como assistente de aprendizado e pesquisa,5,9,5,8,9
Mandar mensagem de voz de 5 minutos,4,4,3,5,4
Perguntar antes de mandar áudio longo,5,7,8,6,6
Ligar por vídeo sem avisar,4,4,3,5,4
Fazer chamadas de voz normais com os pais,5,8,9,5,7
Gastar tempo editando selfies com filtros de distorção,4,2,3,4,3
Postar fotos sem filtro aceitando a realidade,5,9,8,8,8
Seguir milhares de perfis de pessoas que não conhece,4,3,4,4,4
Fazer a "limpa" nas redes e seguir apenas quem agrega,6,9,7,8,7
Ficar dando F5 no email do trabalho durante as férias,2,2,3,4,4
Deletar o app do email nas férias,8,10,8,8,8
Fazer cursos piratas,5,6,5,5,5
Criar um blog para escrever sobre os hobbies,5,8,6,7,9
Gravar vídeos para o YouTube superando a timidez,4,8,7,7,9
Jogar Dungeons and Dragons online (RPG de mesa virtual),5,8,9,6,7
Pesquisar sintomas de doenças no Google (Cibercondria),3,2,3,4,3
Marcar consulta médica online por telemedicina,7,8,6,7,6
Usar app de meditação guiada,7,9,6,7,7
Usar app para rastrear o sono,6,8,5,6,6
Usar app para controlar ingestão de água,7,8,5,6,6
Rastrear calorias no MyFitnessPal obsessivamente,4,3,4,4,5
Rastrear calorias de forma educativa e temporária,7,8,6,7,8
Dar reviews falsas em produtos ou estabelecimentos,5,2,2,5,2
Avaliar de forma sincera um bom serviço no Google Maps,5,7,8,6,7
Desativar recebimentos de notificações push desnecessárias,6,9,7,8,7
Jogar lixo na rua por preguiça,5,3,1,4,1
Guardar lixo no bolso até achar lixeira,5,8,8,6,7
Separar lixo reciclável do orgânico,5,8,9,5,8
Desperdiçar água lavando a calçada com mangueira,5,4,2,5,3
Varrer a calçada usando vassoura,7,7,7,5,6
Cortar a grama do jardim de casa,8,8,6,5,6
Contratar alguém para cortar a grama e focar em outro trabalho,5,8,6,8,7
Não dar seta no trânsito,5,3,2,5,3
Agradecer ao motorista que deu passagem,5,8,8,6,6
Xingar no trânsito após tomar uma fechada,4,2,2,4,2
Ouvir podcast de notícias políticas,5,8,6,6,7
Fugir de debates eleitorais por ansiedade,5,4,5,5,4
Participar de reuniões de condomínio,5,7,7,5,6
Reclamar do síndico sem ir na reunião,5,3,3,5,3
Arrumar o armário de roupas por cores,5,8,5,5,6
Deixar as roupas jogadas na cadeira do quarto,4,4,4,5,4
Levar o lixo para fora no dia certo,6,7,7,5,6
Esquecer de pagar o IPVA do carro,4,3,4,2,3
Colocar todas as contas no débito automático,5,9,6,9,8
Checar o extrato bancário todos os dias,4,3,4,5,4
Checar o extrato bancário uma vez por semana,5,8,5,8,7
Comprar pão na padaria conversando com o padeiro,6,8,8,6,6
Evitar caixas de supermercado usando o self-checkout,5,5,5,6,5
Esquecer de dar "Bom dia" ao porteiro,5,4,3,5,4
Cumprimentar funcionários da limpeza,5,8,9,6,8
Dar gorjeta extra a entregadores em dias de chuva,5,8,9,5,8
Recusar-se a dar gorjetas sob a desculpa de "já ganham salário",5,3,3,6,3
Pedir nota fiscal em todas as compras (Cidadania),5,7,8,6,7
Usar o carro para ir na padaria da esquina,4,4,3,5,4
Ir a pé ou de bicicleta na padaria da esquina,8,8,7,6,6
Lavar o próprio carro no fim de semana,8,7,5,5,6
Pagar a lavagem do carro em um posto,5,7,6,7,5
Fazer compostagem em casa,5,8,9,4,8
Comprar produtos a granel para reduzir plástico,5,8,8,6,8
Deixar a torneira ligada enquanto escova os dentes,5,3,2,5,3
Fechar a torneira enquanto escova os dentes,5,8,8,6,7
Fazer seguro da casa contra incêndio/roubo,5,9,6,8,8
Trancar todas as portas e janelas com paranóia excessiva,4,2,4,4,3
Comprar flores para a própria casa,5,8,6,6,6
Fazer a feira no fim de tarde para pegar a xepa,6,7,6,8,7
Ir ao supermercado sem sacolas retornáveis,5,4,3,5,4
Carregar sacolas retornáveis no carro sempre,5,8,8,6,7
Fazer reparos no telhado da casa,8,7,5,7,7
Pintar a parede do próprio quarto,8,8,5,6,7
Chamar um eletricista para tarefas simples por medo de choque,5,8,6,7,6
Tentar consertar algo elétrico sem entender e levar choque,2,2,3,4,2
Ligar a TV de manhã apenas para ter barulho de fundo,4,4,4,5,4
Ficar em silêncio absoluto pela manhã,5,9,6,7,7
Comprar um umidificador de ar para dormir melhor,8,8,5,6,6
Limpar os filtros do ar condicionado,8,8,6,6,6
Avisar o vizinho sobre um vazamento de água,5,8,9,6,8
Fingir que não viu o vazamento do vizinho,5,2,2,5,2
Emprestar ferramentas para o vizinho,5,7,8,5,7
Recolher fezes do cachorro na rua,6,7,9,5,8
Deixar as fezes do cachorro na rua,5,2,1,5,1
Avisar ao garçom que o prato veio errado,5,7,6,6,6
Comer um prato errado no restaurante por vergonha de falar,4,3,4,4,3
Gritar com o garçom por um erro no pedido,4,2,1,4,2
Devolver o troco a mais que o caixa deu por engano,5,9,9,6,9
Ficar com o troco a mais se sentindo "esperto",5,2,2,5,1
Entrar na fila de prioridade sem ter direito,5,2,1,5,1
Ceder o lugar para um idoso ou gestante no ônibus,6,8,9,5,9
Fingir que está dormindo para não ceder o lugar,5,2,2,5,2
Atravessar na faixa de pedestres,8,8,9,6,8
Atravessar fora da faixa correndo risco,3,3,3,5,3
Desrespeitar placa de Pare no trânsito tarde da noite,3,3,2,5,2
Mudar a senha do Wi-Fi frequentemente,5,7,5,7,6
Deixar o Wi-Fi aberto sem senha para vizinhos,5,4,5,4,5
Deixar as luzes acesas em cômodos vazios,5,3,3,4,3
Apagar as luzes ao sair do cômodo,5,8,7,6,7
Abrir a janela para circular o ar da casa,8,8,6,6,7
Guardar remédios vencidos na farmácia de casa,4,3,4,4,3
Descartar remédios vencidos em postos de coleta,5,8,9,5,8
Fazer doação do troco solidário em farmácias/supermercados,5,8,8,5,8
Acompanhar idosos em consultas médicas,4,7,9,4,9
Dar carona solidária para colegas de trabalho,5,8,9,4,8
Reclamar de vizinho com som alto de forma hostil,4,2,2,4,2
Chamar a polícia para resolver som alto após horário,5,6,6,6,6
Dialogar com vizinho de forma educada sobre o som,5,8,8,6,8
Assistir jornal noturno e ficar ansioso com notícias de crime,3,2,3,4,3
Trocar noticiário trágico por um bom filme à noite,5,9,6,6,7
Fazer assinatura de clube de vinhos ou livros,5,7,6,5,7
Comprar rifa para ajudar instituições ou conhecidos,5,8,8,5,8
Pagar café pendente para desconhecidos em situação de rua,5,9,9,5,9
Esconder a placa do carro para não tomar multa,5,1,1,4,1
Guardar lugar na fila do banco para outra pessoa,5,4,5,5,5
Pedir informação para alguém na rua em vez de usar o GPS,5,6,7,5,6
Comprar direto do produtor rural em feiras locais,6,8,9,6,8
Comprar legumes e frutas esteticamente imperfeitos para evitar desperdício,6,8,9,6,8
Denunciar maus-tratos a animais de forma anônima,5,8,9,6,9
Filmar um acidente em vez de ajudar,4,1,1,4,1
Prestar socorro ou chamar a ambulância em acidentes,6,9,10,5,10
Tirar certidões e documentos atrasados,5,8,5,8,7
Organizar as gavetas da cozinha por ordem de uso,5,8,5,6,6
Jogar óleo de cozinha no ralo da pia,4,3,1,5,2
Guardar óleo de cozinha para reciclagem,5,8,9,5,8
Deixar o chinelo virado acreditando em superstições,5,4,5,5,4
Montar móveis do zero lendo manuais (IKEA/TokStok),7,9,6,7,8
Limpar as janelas da casa ouvindo música alta,8,8,6,6,7
Trocar o pneu do carro furado sozinho na estrada,8,8,5,6,8
Esperar reboque por não saber trocar o pneu do carro,5,4,4,5,4
Preparar mala de viagem com semanas de antecedência,5,9,5,8,7
Fazer as malas na noite anterior à viagem e esquecer coisas,4,3,4,5,4
Fazer maratona de filmes de terror sozinho no escuro,4,5,4,5,4
Ler comentários em portais de notícias,4,2,3,4,3
Aprender um novo idioma usando aplicativos gratuitos (Duolingo),5,9,6,7,8
Colecionar plantas e montar uma "Urban Jungle" no apartamento,6,8,6,6,7
Começar um podcast amador com os amigos,5,8,8,6,8
Gravar áudios cantando no banho e enviar para amigos,6,8,8,6,6
Criar teorias da conspiração sobre séries de TV na internet,4,7,5,5,5
Deixar a aba do e-mail de trabalho aberta no fim de semana,3,3,4,4,4
Assistir tutoriais de culinária e pedir iFood logo em seguida,3,4,5,4,4
Usar roupas velhas e furadas em casa para economizar,5,6,5,7,5
Doar roupas antigas para abrir espaço no armário,6,8,7,8,8
